Id,Label,URL,Datatype,Uses in statements,Items with such statements,Uses in statements with qualifiers,Uses in qualifiers,Uses in references,Uses in properties,Uses total,Related properties
P143,"imported from",http://www.wikidata.org/entity/P143,Item,953,915,488,63,30186267,0,30187283,"start time@end time@sport@language of work or name@date of baptism in early childhood@subject of@family name@depicted by@nickname@Oxford Biography Index Number@time of earliest written record@main regulatory text@occupation@country of citizenship@Dictionary of Welsh Biography ID@official residence@mariscos recios futsal@given name@date of birth@country@publication date@date of death@sex or gender@Dictionary of Ulster Biography ID@place of publication"
P31,"instance of",http://www.wikidata.org/entity/P31,Item,15245804,14973441,28429,2302,3670,1641,15253417,""
P248,"stated in",http://www.wikidata.org/entity/P248,Item,125,94,82,33614,14094707,0,14128446,"runway@IATA airport code@ICAO airport code@native label@category of people buried here@Encyclopædia Britannica Online ID@nickname@Smithsonian volcano identifier@full text available at@Structurae ID (structure)@China Vitae ID@located next to body of water@legislative body@named after@Freebase identifier@stock exchange@flag@elevation above sea level@coat of arms@GeoNames ID@employees@title@ISIN@Wikivoyage banner@category of associated people@parent company@start time@industry@category for people who died here@located on astronomical body@official website@Dictionary of Welsh Biography ID@FIPS 10-4 (countries and regions)@TGN identifier@name in native language@number of pages@head of government@ISO 3166-2 code@published in@coordinate location@mariscos recios futsal@AAT identifier@MusicBrainz area ID"
P813,"retrieved",http://www.wikidata.org/entity/P813,Time,11,11,0,3585,12469135,0,12472731,"full text available at@handedness@published in@subtitle@title@WTA ID@author@reference URL@place of publication@doubles record@singles record@language of work or name@number of pages@ITF ID@residence@publisher@publication date@(OBSOLETE) title (use P1476, "title")@original language of work"
P17,"country",http://www.wikidata.org/entity/P17,Item,3880995,3871361,773,40030,58,80,3921163,"located in the administrative territorial entity@coordinate location"
P21,"sex or gender",http://www.wikidata.org/entity/P21,Item,2832464,2832386,27,2646,70,2,2835182,"given name@country of citizenship@occupation@date of birth@date of death@place of birth@VIAF identifier"
P131,"located in the administrative territorial entity",http://www.wikidata.org/entity/P131,Item,2695772,2529046,14152,19292,29,1,2715094,"country@official name@China administrative division code@coordinate location"
P577,"publication date",http://www.wikidata.org/entity/P577,Time,296844,291915,3539,7895,2149211,0,2453950,"director@cast member@original language of work@country of origin@title@genre@IMDb identifier@producer@composer@screenwriter@director of photography@AllMovie movie ID@volume@issue@short author name (author name string; use if Wikidata item for author does not exist or is not known)@page@AlloCiné movie ID@production company@DOI@PubMed ID@PMCID@Rotten Tomatoes identifier@filming location@game mode@color@MovieMeter movie ID@narrative location@platform@film editor@publisher@Box Office Mojo film ID@developer@distribution@Metacritic ID@number of pages@FilmAffinity identifier@Danish National Filmography ID@SFDb movie ID@author@Internet Archive identifier@ESRB rating@Steam ID@PEGI rating@MPAA film rating@iTunes album ID@Spotify track ID@Zentralblatt MATH@ADS bibcode@BN (Argentine) editions@ISFDB publication ID@EUL editions@box office@JMDb film identifier@average shot length@RISS catalog@Dialnet article@NARA catalog record ID@Dialnet book@CiNii book identifer@article ID@allgame ID@Federal Register Document Number@MAME ROM@Scopus EID@ISMN@NMHH film rating@SMDB ID@Netflix identifier@PORT film ID@input device@Elonet movie ID@narrator@RSL scanned book's identifier@MobyGames ID@FSK film rating@USK rating@CERO rating@distributor@Google Books identifier@soundtrack album@Norsk filmografi ID@ZooBank publication ID@Spotify album ID@Wikisource index page@software engine@printed by@review score@BAnQ ID@ISBN-13@DNB editions@ISFDB title ID@HathiTrust id@charted in@Digital Rights Management system@GSRR rating@reference URL@SUDOC editions@Anime News Network anime ID@duration@working title@Wine AppDB-ID@recorded at@executive producer@programmer@LibraryThing work identifier@editor@based on@SWB editions@LIBRIS editions@Project Gutenberg ebook ID@cover artist@tracklist@place of publication@Discogs release ID"
P625,"coordinate location",http://www.wikidata.org/entity/P625,Globe coordinates,2390922,2375938,1683,30677,26,0,2421625,"located in the administrative territorial entity@country@GeoNames ID"
P854,"reference URL",http://www.wikidata.org/entity/P854,URL,2640,2557,30,6758,2375042,2,2384442,"license@issue@depicts@criterion used@defender@prosecutor@author@BBC Genome identifier@part of@determination method@Facebook Places ID@plaintiff@signatory@charge@publication date@followed by@follows@defendant@original language of work@Alexa rank@replaced synonym (for nom. nov.)@retrieved@feed URL@cleavage@streaming media URL@drug used for treatment@streak color@NOR@approved by@archive URL@BHL Page ID@separated from@IRC channel@Mohs' hardness@this taxon is source of@KMDb person ID@conifers.org ID@phone number@location of landing@source code repository@page@used by@Request for Comments identifier@main regulatory text@volume@mascot@exemplar of@Library of Congress JukeBox ID@subtitle@Wikidata property@taxon synonym@orbits completed@spacecraft@Open Hub ID@Internet media type@time of spacecraft landing@LinkedIn personal profile URL@type of orbit@dedicated to@legal citation of this text@place of publication"
P569,"date of birth",http://www.wikidata.org/entity/P569,Time,2225316,2210909,3070,183,19,0,2225518,"date of death@country of citizenship@occupation@place of birth@given name@sex or gender@VIAF identifier@place of death"
P735,"given name",http://www.wikidata.org/entity/P735,Item,2226576,2209243,851,110,4,0,2226690,"country of citizenship@occupation@date of birth@sex or gender@date of death@place of birth@VIAF identifier@place of death"
P225,"taxon name",http://www.wikidata.org/entity/P225,String,2094843,2092884,43415,17,4615,0,2099475,"taxon rank@parent taxon@Global Biodiversity Information Facility ID@Encyclopedia of Life ID@ITIS TSN@PlantList-ID@Tropicos taxon name identifier@NCBI Taxonomy ID@IPNI plant ID"
P105,"taxon rank",http://www.wikidata.org/entity/P105,Item,2089998,2089907,0,1,0,0,2089999,"parent taxon@Global Biodiversity Information Facility ID@taxon name@Encyclopedia of Life ID@ITIS TSN@PlantList-ID@Tropicos taxon name identifier@NCBI Taxonomy ID@IPNI plant ID"
P171,"parent taxon",http://www.wikidata.org/entity/P171,Item,2084959,2079640,3020,5,3,0,2084967,"Global Biodiversity Information Facility ID@taxon rank@taxon name@Encyclopedia of Life ID@ITIS TSN@PlantList-ID@Tropicos taxon name identifier@NCBI Taxonomy ID@IPNI plant ID"
P846,"Global Biodiversity Information Facility ID",http://www.wikidata.org/entity/P846,String,1807539,1807369,0,1,0,0,1807540,"Encyclopedia of Life ID@parent taxon@taxon rank@taxon name@ITIS TSN@PlantList-ID@Tropicos taxon name identifier@IPNI plant ID@NCBI Taxonomy ID@World Register of Marine Species identifier"
P106,"occupation",http://www.wikidata.org/entity/P106,Item,2300846,1805613,4329,871,30,0,2301747,"country of citizenship@place of birth@date of birth@given name@sex or gender@date of death@VIAF identifier@place of death@GND identifier@LCAuth identifier@ISNI@SUDOC authorities"
P27,"country of citizenship",http://www.wikidata.org/entity/P27,Item,1817578,1756867,862,369,34,0,1817981,"place of birth@occupation@date of birth@given name@sex or gender@date of death@VIAF identifier@place of death@GND identifier@LCAuth identifier@SUDOC authorities@ISNI"
P830,"Encyclopedia of Life ID",http://www.wikidata.org/entity/P830,String,1370591,1370577,2,0,2,0,1370593,"Global Biodiversity Information Facility ID@parent taxon@taxon rank@taxon name@ITIS TSN@NCBI Taxonomy ID@PlantList-ID@Tropicos taxon name identifier"
P373,"Commons category",http://www.wikidata.org/entity/P373,String,1361821,1361259,15,3220,45,0,1365086,"image@Freebase identifier"
P646,"Freebase identifier",http://www.wikidata.org/entity/P646,String,1156772,1156657,20,3,24,2,1156801,"Commons category@image@GeoNames ID"
P570,"date of death",http://www.wikidata.org/entity/P570,Time,1124452,1113530,2013,128,3,0,1124583,"place of death@VIAF identifier@date of birth@country of citizenship@place of birth@given name@sex or gender@occupation@GND identifier@SUDOC authorities@LCAuth identifier@ISNI@BnF identifier@languages spoken or written"
